gameid	Trial	condition	TrialType	ControlType	ItemID	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	NumSameDistractors	DistractorsNoun	DistractorsRedProp	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	distractorOne	distractorTwo	distractorThree	distractorFour	distractorFive	directorViewOrdered	guesserViewOrdered
djHqEEgoKbR5rJxgT	15	color_same_diff_m	target	undefined	cake_shell	big_purple_shell	size and color	redundant	size	color	5	1	same	diff	large purple shell	NA	large purple shell	0	1	shell	big	purple	TRUE	TRUE	TRUE	FALSE	FALSE	small_purple_shell	big_black_cake	small_black_shell	small_black_shell	small_black_shell	small_black_shell,small_black_shell,small_black_shell,small_black_shell,big_purple_shell,big_black_cake,small_purple_shell	small_black_shell,small_black_shell,small_purple_shell,big_black_cake,big_purple_shell,small_black_shell,small_black_shell
djHqEEgoKbR5rJxgT	16	size_same_diff_m	target	undefined	screwdriver_razor	big_black_razor	color	minimal	color	size	5	1	same	diff	black razor	NA	black razor	1	0	razor	big	black	TRUE	FALSE	TRUE	FALSE	FALSE	big_green_razor	small_black_screwdriver	small_green_razor	small_green_razor	small_green_razor	small_green_razor,small_green_razor,big_black_razor,big_green_razor,small_black_screwdriver,small_green_razor,small_green_razor	big_black_razor,big_black_razor,big_green_razor,small_green_razor,small_green_razor,small_black_screwdriver,small_green_razor
djHqEEgoKbR5rJxgT	17	size_basic_filler_1_f	control	both_necessary	shovel_tie	big_black_tie	size and color	redundant	color	size	3	1	no_extras	no_extras	large black tie	NA	large black tie	0	1	tie	big	black	TRUE	TRUE	TRUE	FALSE	FALSE	big_green_tie	small_green_shovel	small_black_tie	NA	NA	small_black_tie,small_black_tie,small_green_shovel,big_green_tie,big_black_tie	big_black_tie,big_black_tie,small_green_shovel,big_green_tie,small_black_tie
djHqEEgoKbR5rJxgT	18	size_diff_same_f	target	undefined	ladle_fork	small_purple_fork	color	minimal	color	size	5	3	diff	same	purple fork	NA	purple fork	1	0	fork	small	purple	TRUE	FALSE	TRUE	FALSE	FALSE	small_orange_fork	big_purple_ladle	big_orange_fork	small_orange_ladle	small_orange_ladle	small_orange_fork,small_orange_fork,big_orange_fork,small_orange_ladle,small_purple_fork,small_orange_ladle,big_purple_ladle	big_purple_ladle,big_purple_ladle,small_purple_fork,big_orange_fork,small_orange_ladle,small_orange_ladle,small_orange_fork
djHqEEgoKbR5rJxgT	19	color_same_same_m	target	undefined	fish_hammer	big_green_hammer	size and color	redundant	size	color	5	3	same	same	large green hammer	NA	large green hammer	0	1	hammer	big	green	TRUE	TRUE	TRUE	FALSE	FALSE	small_green_hammer	big_purple_fish	small_purple_hammer	small_green_hammer	small_green_hammer	small_purple_hammer,small_purple_hammer,big_purple_fish,small_green_hammer,small_green_hammer,small_green_hammer,big_green_hammer	small_purple_hammer,small_purple_hammer,big_green_hammer,small_green_hammer,big_purple_fish,small_green_hammer,small_green_hammer
djHqEEgoKbR5rJxgT	20	size_same_diff_f	target	undefined	stapler_crown	small_white_crown	color	minimal	color	size	5	1	same	diff	grey crown	NA	grey crown	1	0	crown	small	white	TRUE	FALSE	TRUE	FALSE	FALSE	small_blue_crown	big_white_stapler	big_blue_crown	big_blue_crown	big_blue_crown	big_blue_crown,big_blue_crown,big_blue_crown,big_white_stapler,big_blue_crown,small_blue_crown,small_white_crown	big_blue_crown,big_blue_crown,small_white_crown,small_blue_crown,big_white_stapler,big_blue_crown,big_blue_crown
djHqEEgoKbR5rJxgT	21	color_diff_same_m	target	undefined	phone_bucket	big_red_bucket	size and color	redundant	size	color	5	3	diff	same	big red bucket	NA	big red bucket	0	1	bucket	big	red	TRUE	TRUE	TRUE	FALSE	FALSE	small_red_bucket	big_white_phone	small_white_bucket	small_red_phone	small_red_phone	small_white_bucket,small_white_bucket,big_red_bucket,big_white_phone,small_red_phone,small_red_bucket,small_red_phone	big_white_phone,big_white_phone,small_red_bucket,small_red_phone,small_red_phone,big_red_bucket,small_white_bucket
djHqEEgoKbR5rJxgT	23	color_diff_same_f	target	undefined	cap_door	small_yellow_door	size and color	redundant	size	color	5	3	diff	same	small yellow door	NA	small yellow door	0	1	door	small	yellow	TRUE	TRUE	TRUE	FALSE	FALSE	big_yellow_door	small_red_cap	big_red_door	big_yellow_cap	big_yellow_cap	small_red_cap,small_red_cap,big_yellow_door,small_yellow_door,big_yellow_cap,big_yellow_cap,big_red_door	small_red_cap,small_red_cap,small_yellow_door,big_yellow_cap,big_yellow_door,big_yellow_cap,big_red_door
djHqEEgoKbR5rJxgT	24	size_diff_diff_f	target	undefined	ring_mouse	small_red_mouse	color	minimal	color	size	5	1	diff	diff	red mouse	NA	red mouse	1	0	mouse	small	red	TRUE	FALSE	TRUE	FALSE	FALSE	small_blue_mouse	big_red_ring	big_blue_mouse	big_blue_ring	big_blue_ring	small_blue_mouse,small_blue_mouse,big_blue_mouse,big_blue_ring,big_red_ring,big_blue_ring,small_red_mouse	big_blue_mouse,big_blue_mouse,small_red_mouse,big_red_ring,big_blue_ring,big_blue_ring,small_blue_mouse
djHqEEgoKbR5rJxgT	25	size_diff_same_m	target	undefined	switch_bed	big_blue_bed	color	minimal	color	size	5	3	diff	same	blue bed	NA	blue bed	1	0	bed	big	blue	TRUE	FALSE	TRUE	FALSE	FALSE	big_yellow_bed	small_blue_switch	small_yellow_bed	big_yellow_switch	big_yellow_switch	big_yellow_switch,big_yellow_switch,big_yellow_switch,small_blue_switch,big_yellow_bed,small_yellow_bed,big_blue_bed	small_yellow_bed,small_yellow_bed,big_blue_bed,small_blue_switch,big_yellow_switch,big_yellow_bed,big_yellow_switch
djHqEEgoKbR5rJxgT	26	color_same_diff_f	target	undefined	napkin_chair	small_blue_chair	size and color	redundant	size	color	5	1	same	diff	small blue chair	NA	small blue chair	0	1	chair	small	blue	TRUE	TRUE	TRUE	FALSE	FALSE	big_blue_chair	small_white_napkin	big_white_chair	big_white_chair	big_white_chair	big_white_chair,big_white_chair,big_white_chair,small_blue_chair,big_blue_chair,small_white_napkin,big_white_chair	small_blue_chair,small_blue_chair,big_white_chair,big_blue_chair,small_white_napkin,big_white_chair,big_white_chair
djHqEEgoKbR5rJxgT	28	color_basic_target_f	target	undefined	lamp_guitar	small_red_guitar	size and color	redundant	size	color	3	1	no_extras	no_extras	small red guitar	NA	small red guitar	0	1	guitar	small	red	TRUE	TRUE	TRUE	FALSE	FALSE	big_red_guitar	small_blue_lamp	big_blue_guitar	NA	NA	big_blue_guitar,big_blue_guitar,small_red_guitar,big_red_guitar,small_blue_lamp	small_red_guitar,small_red_guitar,small_blue_lamp,big_blue_guitar,big_red_guitar
djHqEEgoKbR5rJxgT	29	size_diff_diff_m	target	undefined	cushion_present	big_blue_present	color	minimal	color	size	5	1	diff	diff	blue box	NA	blue box	1	0	present	big	blue	TRUE	FALSE	TRUE	FALSE	FALSE	big_red_present	small_blue_cushion	small_red_present	small_red_cushion	small_red_cushion	small_red_cushion,small_red_cushion,small_red_cushion,big_blue_present,small_red_present,big_red_present,small_blue_cushion	small_blue_cushion,small_blue_cushion,small_red_cushion,small_red_present,small_red_cushion,big_red_present,big_blue_present
djHqEEgoKbR5rJxgT	31	color_basic_filler_1_f	control	both_necessary	mug_belt	small_yellow_belt	size and color	redundant	size	color	3	1	no_extras	no_extras	small yellow belt	NA	small yellow belt	0	1	belt	small	yellow	TRUE	TRUE	TRUE	FALSE	FALSE	big_yellow_belt	big_white_mug	small_white_belt	NA	NA	small_white_belt,small_white_belt,small_yellow_belt,big_yellow_belt,big_white_mug	big_yellow_belt,big_yellow_belt,small_white_belt,big_white_mug,small_yellow_belt
djHqEEgoKbR5rJxgT	32	size_basic_filler_1_m	control	both_necessary	lipstick_airplane	big_purple_airplane	size and color	redundant	color	size	3	1	no_extras	no_extras	large purple plane	NA	large purple plane	0	1	airplane	big	purple	TRUE	TRUE	TRUE	FALSE	FALSE	big_black_airplane	small_black_lipstick	small_purple_airplane	NA	NA	big_black_airplane,big_black_airplane,small_black_lipstick,big_purple_airplane,small_purple_airplane	small_black_lipstick,small_black_lipstick,small_purple_airplane,big_purple_airplane,big_black_airplane
oobA5wy6PdpvjG2zc	1	color_diff_same_m	target	undefined	calendar_razor	big_purple_razor	size and color	redundant	size	color	5	3	diff	same	it’s big and purple used for shaving	NA	it’s big and purple used for shaving	0	1	razor	big	purple	TRUE	TRUE	FALSE	FALSE	FALSE	small_purple_razor	big_orange_calendar	small_orange_razor	small_purple_calendar	small_purple_calendar	small_purple_calendar,small_purple_calendar,small_purple_razor,small_purple_calendar,small_orange_razor,big_orange_calendar,big_purple_razor	small_orange_razor,small_orange_razor,big_purple_razor,small_purple_calendar,small_purple_calendar,big_orange_calendar,small_purple_razor
oobA5wy6PdpvjG2zc	3	size_basic_filler_1_f	control	both_necessary	clock_napkin	big_yellow_napkin	size and color	redundant	color	size	3	1	no_extras	no_extras	it’s big and yellow	NA	it’s big and yellow	0	1	napkin	big	yellow	TRUE	TRUE	FALSE	FALSE	FALSE	big_white_napkin	small_white_clock	small_yellow_napkin	NA	NA	big_yellow_napkin,big_yellow_napkin,big_white_napkin,small_yellow_napkin,small_white_clock	small_yellow_napkin,small_yellow_napkin,big_white_napkin,big_yellow_napkin,small_white_clock
oobA5wy6PdpvjG2zc	4	size_basic_filler_2_m	control	noun_sufficient	coathanger_frame	big_red_frame	size and color	redundant	color	size	3	1	no_extras	no_extras	it’s big red and a square	NA	it’s big red and a square	0	1	frame	big	red	TRUE	TRUE	TRUE	FALSE	TRUE	small_red_coathanger	small_blue_coathanger	big_blue_coathanger	NA	NA	big_red_frame,big_red_frame,small_blue_coathanger,big_blue_coathanger,small_red_coathanger	small_blue_coathanger,small_blue_coathanger,small_red_coathanger,big_blue_coathanger,big_red_frame
oobA5wy6PdpvjG2zc	5	size_same_diff_m	target	undefined	vase_robot	big_orange_robot	size and color	redundant	color	size	5	1	same	diff	it’s big and orange with eyes	NA	it’s big and orange with eyes	0	1	robot	big	orange	TRUE	TRUE	FALSE	FALSE	FALSE	big_black_robot	small_orange_vase	small_black_robot	small_black_robot	small_black_robot	small_black_robot,small_black_robot,small_orange_vase,big_black_robot,big_orange_robot,small_black_robot,small_black_robot	small_black_robot,small_black_robot,small_black_robot,big_orange_robot,big_black_robot,small_black_robot,small_orange_vase
oobA5wy6PdpvjG2zc	6	size_diff_diff_m	target	undefined	present_butterfly	big_yellow_butterfly	size and color	redundant	color	size	5	1	diff	diff	big yellow bug	NA	big yellow bug	0	1	butterfly	big	yellow	TRUE	TRUE	TRUE	FALSE	FALSE	big_white_butterfly	small_yellow_present	small_white_butterfly	small_white_present	small_white_present	big_white_butterfly,big_white_butterfly,small_yellow_present,big_yellow_butterfly,small_white_present,small_white_butterfly,small_white_present	small_white_present,small_white_present,small_white_present,big_white_butterfly,big_yellow_butterfly,small_white_butterfly,small_yellow_present
oobA5wy6PdpvjG2zc	7	color_same_diff_m	target	undefined	armchair_mask	big_blue_mask	size and color	redundant	size	color	5	1	same	diff	big blue covid	NA	big blue covid	0	1	mask	big	blue	TRUE	TRUE	FALSE	FALSE	FALSE	small_blue_mask	big_red_armchair	small_red_mask	small_red_mask	small_red_mask	small_blue_mask,small_blue_mask,big_blue_mask,small_red_mask,small_red_mask,big_red_armchair,small_red_mask	small_red_mask,small_red_mask,big_red_armchair,small_red_mask,small_blue_mask,small_red_mask,big_blue_mask
oobA5wy6PdpvjG2zc	8	size_same_same_f	target	undefined	ruler_calculator	small_red_calculator	size and color	redundant	color	size	5	3	same	same	small red	NA	small red	0	1	calculator	small	red	TRUE	TRUE	FALSE	FALSE	FALSE	small_yellow_calculator	big_red_ruler	big_yellow_calculator	small_yellow_calculator	small_yellow_calculator	small_yellow_calculator,small_yellow_calculator,small_red_calculator,small_yellow_calculator,small_yellow_calculator,big_yellow_calculator,big_red_ruler	small_yellow_calculator,small_yellow_calculator,small_red_calculator,big_yellow_calculator,small_yellow_calculator,big_red_ruler,small_yellow_calculator
oobA5wy6PdpvjG2zc	11	color_basic_filler_1_m	control	both_necessary	truck_hammer	small_purple_hammer	size and color	redundant	size	color	3	1	no_extras	no_extras	small and purple	NA	small and purple	0	1	hammer	small	purple	TRUE	TRUE	FALSE	FALSE	FALSE	big_purple_hammer	big_green_truck	small_green_hammer	NA	NA	big_purple_hammer,big_purple_hammer,big_green_truck,small_purple_hammer,small_green_hammer	small_purple_hammer,small_purple_hammer,big_purple_hammer,big_green_truck,small_green_hammer
oobA5wy6PdpvjG2zc	12	size_same_same_m	target	undefined	switch_pencil	big_white_pencil	color	minimal	color	size	5	3	same	same	white and used for writing	NA	white and used for writing	1	0	pencil	big	white	TRUE	FALSE	FALSE	FALSE	FALSE	big_blue_pencil	small_white_switch	small_blue_pencil	big_blue_pencil	big_blue_pencil	big_white_pencil,big_white_pencil,big_blue_pencil,big_blue_pencil,big_blue_pencil,small_white_switch,small_blue_pencil	big_blue_pencil,big_blue_pencil,big_blue_pencil,big_blue_pencil,small_blue_pencil,big_white_pencil,small_white_switch
oobA5wy6PdpvjG2zc	13	color_basic_target_f	target	undefined	billiardball_flower	small_yellow_flower	size and color	redundant	size	color	3	1	no_extras	no_extras	small and yellow	NA	small and yellow	0	1	flower	small	yellow	TRUE	TRUE	FALSE	FALSE	FALSE	big_yellow_flower	small_blue_billiardball	big_blue_flower	NA	NA	small_blue_billiardball,small_blue_billiardball,big_blue_flower,big_yellow_flower,small_yellow_flower	small_yellow_flower,small_yellow_flower,big_blue_flower,small_blue_billiardball,big_yellow_flower
oobA5wy6PdpvjG2zc	14	size_basic_filler_2_f	control	noun_sufficient	cap_candle	big_yellow_candle	size and color	redundant	color	size	3	1	no_extras	no_extras	big and yellow	NA	big and yellow	0	1	candle	big	yellow	TRUE	TRUE	FALSE	FALSE	FALSE	small_yellow_cap	small_white_cap	big_white_cap	NA	NA	big_white_cap,big_white_cap,small_yellow_cap,big_yellow_candle,small_white_cap	small_yellow_cap,small_yellow_cap,big_yellow_candle,small_white_cap,big_white_cap
oobA5wy6PdpvjG2zc	15	size_basic_filler_3_m	control	size_redundant	bonbon_shell	small_green_shell	size and color	redundant	color	size	3	1	no_extras	no_extras	small green	NA	small green	0	1	shell	small	green	TRUE	TRUE	FALSE	FALSE	FALSE	big_black_shell	big_green_shell	small_black_bonbon	NA	NA	big_black_shell,big_black_shell,small_black_bonbon,big_green_shell,small_green_shell	small_black_bonbon,small_black_bonbon,big_green_shell,big_black_shell,small_green_shell
oobA5wy6PdpvjG2zc	16	color_same_same_f	target	undefined	ring_stapler	small_white_stapler	size and color	redundant	size	color	5	3	same	same	small white	NA	small white	0	1	stapler	small	white	TRUE	TRUE	FALSE	FALSE	FALSE	big_white_stapler	small_red_ring	big_red_stapler	big_white_stapler	big_white_stapler	big_white_stapler,big_white_stapler,big_white_stapler,small_white_stapler,big_white_stapler,small_red_ring,big_red_stapler	big_red_stapler,big_red_stapler,big_white_stapler,small_white_stapler,small_red_ring,big_white_stapler,big_white_stapler
oobA5wy6PdpvjG2zc	17	color_basic_filler_2_m	control	noun_sufficient	balloon_bed	small_blue_bed	size and color	redundant	size	color	3	1	no_extras	no_extras	small blue	NA	small blue	0	1	bed	small	blue	TRUE	TRUE	FALSE	FALSE	FALSE	small_red_balloon	big_red_balloon	big_blue_balloon	NA	NA	small_blue_bed,small_blue_bed,big_red_balloon,small_red_balloon,big_blue_balloon	big_blue_balloon,big_blue_balloon,small_red_balloon,big_red_balloon,small_blue_bed
oobA5wy6PdpvjG2zc	18	size_same_diff_f	target	undefined	pan_lamp	small_white_lamp	size and color	redundant	color	size	5	1	same	diff	small white used for a light	NA	small white used for a light	0	1	lamp	small	white	TRUE	TRUE	TRUE	FALSE	TRUE	small_blue_lamp	big_white_pan	big_blue_lamp	big_blue_lamp	big_blue_lamp	small_blue_lamp,small_blue_lamp,big_blue_lamp,big_blue_lamp,small_white_lamp,big_blue_lamp,big_white_pan	big_blue_lamp,big_blue_lamp,big_white_pan,small_blue_lamp,big_blue_lamp,small_white_lamp,big_blue_lamp
oobA5wy6PdpvjG2zc	19	color_basic_target_m	target	undefined	piano_fish	small_purple_fish	size and color	redundant	size	color	3	1	no_extras	no_extras	small purple	NA	small purple	0	1	fish	small	purple	TRUE	TRUE	FALSE	FALSE	FALSE	big_purple_fish	small_black_piano	big_black_fish	NA	NA	big_purple_fish,big_purple_fish,big_black_fish,small_purple_fish,small_black_piano	small_purple_fish,small_purple_fish,small_black_piano,big_purple_fish,big_black_fish
oobA5wy6PdpvjG2zc	20	size_basic_filler_1_m	control	both_necessary	whistle_airplane	big_green_airplane	size and color	redundant	color	size	3	1	no_extras	no_extras	big green fly	NA	big green fly	0	1	airplane	big	green	TRUE	TRUE	FALSE	FALSE	FALSE	big_black_airplane	small_black_whistle	small_green_airplane	NA	NA	small_green_airplane,small_green_airplane,small_black_whistle,big_black_airplane,big_green_airplane	small_black_whistle,small_black_whistle,big_green_airplane,big_black_airplane,small_green_airplane
oobA5wy6PdpvjG2zc	21	color_diff_diff_f	target	undefined	key_crown	small_blue_crown	size and color	redundant	size	color	5	1	diff	diff	small blue	thank you, you've been ace. sorry you had to do all they typing!	small blue	0	1	crown	small	blue	TRUE	TRUE	FALSE	FALSE	FALSE	big_blue_crown	small_yellow_key	big_yellow_crown	big_yellow_key	big_yellow_key	small_blue_crown,small_blue_crown,big_yellow_key,big_yellow_crown,small_yellow_key,big_yellow_key,big_blue_crown	small_yellow_key,small_yellow_key,big_blue_crown,big_yellow_key,small_blue_crown,big_yellow_key,big_yellow_crown
oobA5wy6PdpvjG2zc	22	size_diff_diff_f	target	undefined	ladle_tent	small_green_tent	size and color	redundant	color	size	5	1	diff	diff	small green used for camping	NA	small green used for camping	0	1	tent	small	green	TRUE	TRUE	FALSE	FALSE	FALSE	small_purple_tent	big_green_ladle	big_purple_tent	big_purple_ladle	big_purple_ladle	big_purple_tent,big_purple_tent,big_purple_ladle,big_green_ladle,small_purple_tent,small_green_tent,big_purple_ladle	big_purple_ladle,big_purple_ladle,big_green_ladle,big_purple_tent,small_green_tent,small_purple_tent,big_purple_ladle
oobA5wy6PdpvjG2zc	23	color_diff_diff_m	target	undefined	bike_rug	big_red_rug	size and color	redundant	size	color	5	1	diff	diff	big and red	NA	big and red	0	1	rug	big	red	TRUE	TRUE	FALSE	FALSE	FALSE	small_red_rug	big_yellow_bike	small_yellow_rug	small_yellow_bike	small_yellow_bike	small_yellow_rug,small_yellow_rug,small_red_rug,big_yellow_bike,small_yellow_bike,small_yellow_bike,big_red_rug	small_yellow_rug,small_yellow_rug,small_yellow_bike,small_red_rug,small_yellow_bike,big_yellow_bike,big_red_rug
oobA5wy6PdpvjG2zc	24	color_diff_same_f	target	undefined	magnifyingglass_mouse	small_blue_mouse	size and color	redundant	size	color	5	3	diff	same	small blue goes with a computer	NA	small blue goes with a computer	0	1	mouse	small	blue	TRUE	TRUE	FALSE	FALSE	TRUE	big_blue_mouse	small_white_magnifyingglass	big_white_mouse	big_blue_magnifyingglass	big_blue_magnifyingglass	small_blue_mouse,small_blue_mouse,big_blue_magnifyingglass,big_blue_magnifyingglass,big_white_mouse,big_blue_mouse,small_white_magnifyingglass	small_blue_mouse,small_blue_mouse,big_blue_mouse,small_white_magnifyingglass,big_white_mouse,big_blue_magnifyingglass,big_blue_magnifyingglass
oobA5wy6PdpvjG2zc	25	size_basic_filler_3_f	control	size_redundant	guitar_chair	small_yellow_chair	size and color	redundant	color	size	3	1	no_extras	no_extras	small yellow	NA	small yellow	0	1	chair	small	yellow	TRUE	TRUE	FALSE	FALSE	FALSE	big_blue_chair	big_yellow_chair	small_blue_guitar	NA	NA	small_blue_guitar,small_blue_guitar,big_blue_chair,small_yellow_chair,big_yellow_chair	small_blue_guitar,small_blue_guitar,big_blue_chair,small_yellow_chair,big_yellow_chair
oobA5wy6PdpvjG2zc	26	size_basic_target_f	target	undefined	ornament_door	small_red_door	size and color	redundant	color	size	3	1	no_extras	no_extras	small red	NA	small red	0	1	door	small	red	TRUE	TRUE	FALSE	FALSE	FALSE	small_blue_door	big_red_ornament	big_blue_door	NA	NA	big_blue_door,big_blue_door,small_red_door,big_red_ornament,small_blue_door	big_red_ornament,big_red_ornament,big_blue_door,small_red_door,small_blue_door
oobA5wy6PdpvjG2zc	27	color_basic_filler_1_f	control	both_necessary	shovel_remote	small_orange_remote	size and color	redundant	size	color	3	1	no_extras	no_extras	small orange tv	NA	small orange tv	0	1	remote	small	orange	TRUE	TRUE	TRUE	FALSE	FALSE	big_orange_remote	big_purple_shovel	small_purple_remote	NA	NA	big_orange_remote,big_orange_remote,small_orange_remote,big_purple_shovel,small_purple_remote	big_purple_shovel,big_purple_shovel,small_orange_remote,small_purple_remote,big_orange_remote
oobA5wy6PdpvjG2zc	28	color_same_diff_f	target	undefined	scarf_belt	small_blue_belt	size and color	redundant	size	color	5	1	same	diff	small blue	NA	small blue	0	1	belt	small	blue	TRUE	TRUE	FALSE	FALSE	FALSE	big_blue_belt	small_yellow_scarf	big_yellow_belt	big_yellow_belt	big_yellow_belt	small_yellow_scarf,small_yellow_scarf,small_blue_belt,big_yellow_belt,big_yellow_belt,big_blue_belt,big_yellow_belt	big_yellow_belt,big_yellow_belt,big_yellow_belt,big_yellow_belt,small_yellow_scarf,big_blue_belt,small_blue_belt
oobA5wy6PdpvjG2zc	29	size_diff_same_m	target	undefined	phone_comb	big_blue_comb	size and color	redundant	color	size	5	3	diff	same	big blue	NA	big blue	0	1	comb	big	blue	TRUE	TRUE	FALSE	FALSE	FALSE	big_white_comb	small_blue_phone	small_white_comb	big_white_phone	big_white_phone	big_white_phone,big_white_phone,small_white_comb,big_white_phone,big_blue_comb,small_blue_phone,big_white_comb	big_white_phone,big_white_phone,big_blue_comb,small_blue_phone,big_white_comb,big_white_phone,small_white_comb
