gameid	Trial	condition	TrialType	itemID	TargetItem	UtteranceType	redUtterance	Sufficient_Property	Redundant_Property	NumDistractors	NumSameDistractors	Distractors_Noun	Distractors_RedProp	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	distractorOne	distractorTwo	distractorThree	distractorFour	distractorFive	directorViewOrdered	guesserViewOrdered
hKrHZbavxiMxqk73Z	11	size_basic_filler_3_m	control	lipstick_bonbon	small_purple_bonbon	size and color	redundant	color	size	3	1	"NA"	"NA"	small purple candy	NA	small purple candy	0	1	bonbon	small	purple	TRUE	TRUE	TRUE	FALSE	FALSE	big_green_bonbon	big_purple_bonbon	small_green_lipstick	NA	NA	big_green_bonbon,small_green_lipstick,big_purple_bonbon,small_purple_bonbon	small_green_lipstick,big_purple_bonbon,big_green_bonbon,small_purple_bonbon
hKrHZbavxiMxqk73Z	12	color_basic_filler_3_m	control	butterfly_comb	small_blue_comb	size and color	redundant	size	color	3	1	"NA"	"NA"	small blue comb	NA	small blue comb	0	1	comb	small	blue	TRUE	TRUE	TRUE	FALSE	FALSE	big_yellow_comb	small_yellow_comb	big_blue_butterfly	NA	NA	big_blue_butterfly,small_yellow_comb,big_yellow_comb,small_blue_comb	big_blue_butterfly,big_yellow_comb,small_yellow_comb,small_blue_comb
hKrHZbavxiMxqk73Z	13	size_same_diff_m	target	present_bike	big_yellow_bike	size and color	redundant	color	size	5	1	same	diff	big yellow bike	NA	big yellow bike	0	1	bike	big	yellow	TRUE	TRUE	TRUE	FALSE	FALSE	big_red_bike	small_yellow_present	small_red_bike	small_red_bike	small_red_bike	big_red_bike,small_red_bike,small_red_bike,small_yellow_present,big_yellow_bike,small_red_bike	small_red_bike,small_red_bike,big_red_bike,big_yellow_bike,small_red_bike,small_yellow_present
hKrHZbavxiMxqk73Z	14	color_basic_filler_1_f	control	tie_tent	small_orange_tent	size and color	redundant	size	color	3	1	"NA"	"NA"	small orange tent	NA	small orange tent	0	1	tent	small	orange	TRUE	TRUE	TRUE	FALSE	FALSE	big_orange_tent	big_black_tie	small_black_tent	NA	NA	big_orange_tent,small_black_tent,small_orange_tent,big_black_tie	big_black_tie,big_orange_tent,small_black_tent,small_orange_tent
hKrHZbavxiMxqk73Z	15	color_diff_same_m	target	piano_robot	big_black_robot	size and color	redundant	size	color	5	3	diff	same	big black robot	NA	big black robot	0	1	robot	big	black	TRUE	TRUE	TRUE	FALSE	FALSE	small_black_robot	big_purple_piano	small_purple_robot	small_black_piano	small_black_piano	small_black_piano,small_black_piano,big_black_robot,small_purple_robot,big_purple_piano,small_black_robot	small_black_piano,small_black_piano,big_black_robot,small_black_robot,big_purple_piano,small_purple_robot
hKrHZbavxiMxqk73Z	16	color_basic_target_f	target	mug_chair	small_white_chair	size and color	redundant	size	color	3	1	"NA"	"NA"	small white chair	NA	small white chair	0	1	chair	small	white	TRUE	TRUE	TRUE	FALSE	FALSE	big_white_chair	small_red_mug	big_red_chair	NA	NA	small_white_chair,small_red_mug,big_white_chair,big_red_chair	small_red_mug,small_white_chair,big_white_chair,big_red_chair
hKrHZbavxiMxqk73Z	17	color_same_diff_m	target	calendar_die	big_black_die	size and color	redundant	size	color	5	1	same	diff	big black die	NA	big black die	0	1	die	big	black	TRUE	TRUE	TRUE	FALSE	FALSE	small_black_die	big_purple_calendar	small_purple_die	small_purple_die	small_purple_die	small_purple_die,small_black_die,small_purple_die,big_purple_calendar,small_purple_die,big_black_die	big_purple_calendar,small_purple_die,small_purple_die,big_black_die,small_purple_die,small_black_die
hKrHZbavxiMxqk73Z	18	size_diff_same_m	target	shell_screwdriver	big_black_screwdriver	size and color	redundant	color	size	5	3	diff	same	big black screwdriver	NA	big black screwdriver	0	1	screwdriver	big	black	TRUE	TRUE	TRUE	FALSE	FALSE	big_orange_screwdriver	small_black_shell	small_orange_screwdriver	big_orange_shell	big_orange_shell	small_black_shell,big_orange_screwdriver,big_black_screwdriver,small_orange_screwdriver,big_orange_shell,big_orange_shell	small_orange_screwdriver,big_black_screwdriver,big_orange_screwdriver,small_black_shell,big_orange_shell,big_orange_shell
hKrHZbavxiMxqk73Z	19	size_diff_diff_f	target	ruler_lamp	small_yellow_lamp	size and color	redundant	color	size	5	1	diff	diff	small yeloow lamp	NA	small yellow lamp	0	1	lamp	small	yellow	TRUE	TRUE	TRUE	FALSE	FALSE	small_white_lamp	big_yellow_ruler	big_white_lamp	big_white_ruler	big_white_ruler	big_white_ruler,small_yellow_lamp,big_white_ruler,big_white_lamp,big_yellow_ruler,small_white_lamp	big_yellow_ruler,small_white_lamp,big_white_lamp,small_yellow_lamp,big_white_ruler,big_white_ruler
hKrHZbavxiMxqk73Z	20	size_diff_same_f	target	belt_clock	small_white_clock	size and color	redundant	color	size	5	3	diff	same	small white clock	NA	small white clock	0	1	clock	small	white	TRUE	TRUE	TRUE	FALSE	FALSE	small_yellow_clock	big_white_belt	big_yellow_clock	small_yellow_belt	small_yellow_belt	small_yellow_clock,small_yellow_belt,small_yellow_belt,big_yellow_clock,small_white_clock,big_white_belt	small_yellow_belt,small_white_clock,small_yellow_belt,big_yellow_clock,big_white_belt,small_yellow_clock
hKrHZbavxiMxqk73Z	21	size_same_same_m	target	phone_cushion	big_yellow_cushion	size and color	redundant	color	size	5	3	same	same	big yellow pillow	NA	big yellow pillow	0	1	cushion	big	yellow	TRUE	TRUE	TRUE	FALSE	FALSE	big_white_cushion	small_yellow_phone	small_white_cushion	big_white_cushion	big_white_cushion	big_white_cushion,small_white_cushion,big_white_cushion,small_yellow_phone,big_white_cushion,big_yellow_cushion	big_yellow_cushion,small_yellow_phone,big_white_cushion,big_white_cushion,big_white_cushion,small_white_cushion
hKrHZbavxiMxqk73Z	22	size_basic_filler_2_f	control	candle_calculator	big_blue_calculator	size and color	redundant	color	size	3	1	"NA"	"NA"	big blue calculator	NA	big blue calculator	0	1	calculator	big	blue	TRUE	TRUE	TRUE	FALSE	FALSE	small_blue_candle	small_white_candle	big_white_candle	NA	NA	small_white_candle,big_white_candle,big_blue_calculator,small_blue_candle	big_blue_calculator,small_blue_candle,big_white_candle,small_white_candle
hKrHZbavxiMxqk73Z	23	size_basic_filler_1_f	control	cap_stapler	big_yellow_stapler	size and color	redundant	color	size	3	1	"NA"	"NA"	big yellow stapler	NA	big yellow stapler	0	1	stapler	big	yellow	TRUE	TRUE	TRUE	FALSE	FALSE	big_blue_stapler	small_blue_cap	small_yellow_stapler	NA	NA	big_blue_stapler,small_yellow_stapler,small_blue_cap,big_yellow_stapler	small_yellow_stapler,big_blue_stapler,big_yellow_stapler,small_blue_cap
hKrHZbavxiMxqk73Z	24	color_same_same_f	target	crown_flower	small_yellow_flower	size and color	redundant	size	color	5	3	same	same	small yellow flower	NA	small yellow flower	0	1	flower	small	yellow	TRUE	TRUE	TRUE	FALSE	FALSE	big_yellow_flower	small_white_crown	big_white_flower	big_yellow_flower	big_yellow_flower	big_white_flower,big_yellow_flower,small_yellow_flower,big_yellow_flower,big_yellow_flower,small_white_crown	small_yellow_flower,big_yellow_flower,big_yellow_flower,big_white_flower,small_white_crown,big_yellow_flower
hKrHZbavxiMxqk73Z	25	size_same_diff_f	target	ladle_shovel	small_black_shovel	size and color	redundant	color	size	5	1	same	diff	small black shovel	NA	small black shovel	0	1	shovel	small	black	TRUE	TRUE	TRUE	FALSE	FALSE	small_purple_shovel	big_black_ladle	big_purple_shovel	big_purple_shovel	big_purple_shovel	big_purple_shovel,big_purple_shovel,big_purple_shovel,small_black_shovel,big_black_ladle,small_purple_shovel	small_black_shovel,big_purple_shovel,big_black_ladle,big_purple_shovel,small_purple_shovel,big_purple_shovel
hKrHZbavxiMxqk73Z	26	color_same_same_m	target	knife_razor	big_orange_razor	size and color	redundant	size	color	5	3	same	same	big ornge razor	NA	big orange razor	0	1	razor	big	orange	TRUE	TRUE	TRUE	FALSE	FALSE	small_orange_razor	big_green_knife	small_green_razor	small_orange_razor	small_orange_razor	big_orange_razor,big_green_knife,small_green_razor,small_orange_razor,small_orange_razor,small_orange_razor	small_orange_razor,big_orange_razor,small_orange_razor,big_green_knife,small_orange_razor,small_green_razor
hKrHZbavxiMxqk73Z	27	size_basic_filler_2_m	control	airplane_truck	big_orange_truck	size and color	redundant	color	size	3	1	"NA"	"NA"	big orange truck	NA	big orange truck	0	1	truck	big	orange	TRUE	TRUE	TRUE	FALSE	FALSE	small_orange_airplane	small_black_airplane	big_black_airplane	NA	NA	big_orange_truck,small_black_airplane,small_orange_airplane,big_black_airplane	small_black_airplane,big_black_airplane,small_orange_airplane,big_orange_truck
hKrHZbavxiMxqk73Z	28	size_same_same_f	target	door_ring	small_blue_ring	size and color	redundant	color	size	5	3	same	same	small blue ring	NA	small blue ring	0	1	ring	small	blue	TRUE	TRUE	TRUE	FALSE	FALSE	small_yellow_ring	big_blue_door	big_yellow_ring	small_yellow_ring	small_yellow_ring	small_yellow_ring,small_blue_ring,big_blue_door,big_yellow_ring,small_yellow_ring,small_yellow_ring	big_yellow_ring,small_yellow_ring,small_yellow_ring,big_blue_door,small_blue_ring,small_yellow_ring
hKrHZbavxiMxqk73Z	29	color_basic_target_m	target	hammer_whistle	small_black_whistle	size and color	redundant	size	color	3	1	"NA"	"NA"	small black whistle	NA	small black whistle	0	1	whistle	small	black	TRUE	TRUE	TRUE	FALSE	FALSE	big_black_whistle	small_orange_hammer	big_orange_whistle	NA	NA	big_black_whistle,big_orange_whistle,small_orange_hammer,small_black_whistle	big_orange_whistle,big_black_whistle,small_black_whistle,small_orange_hammer
hKrHZbavxiMxqk73Z	30	color_basic_filler_1_m	control	bucket_mask	small_white_mask	size and color	redundant	size	color	3	1	"NA"	"NA"	small white mask	NA	small white mask	0	1	mask	small	white	TRUE	TRUE	TRUE	FALSE	FALSE	big_white_mask	big_red_bucket	small_red_mask	NA	NA	small_white_mask,big_red_bucket,big_white_mask,small_red_mask	big_white_mask,small_red_mask,big_red_bucket,small_white_mask
hKrHZbavxiMxqk73Z	31	color_basic_filler_2_f	control	guitar_dress	small_blue_dress	size and color	redundant	size	color	3	1	"NA"	"NA"	small blue dress	NA	small blue dress	0	1	dress	small	blue	TRUE	TRUE	TRUE	FALSE	FALSE	small_yellow_guitar	big_yellow_guitar	big_blue_guitar	NA	NA	big_blue_guitar,small_yellow_guitar,big_yellow_guitar,small_blue_dress	big_yellow_guitar,small_blue_dress,big_blue_guitar,small_yellow_guitar
hKrHZbavxiMxqk73Z	32	color_basic_filler_3_f	control	napkin_billiardball	small_red_billiardball	size and color	redundant	size	color	3	1	"NA"	"NA"	you did great! small red ball	NA	small red ball	0	1	billiardball	small	red	TRUE	TRUE	TRUE	FALSE	FALSE	big_yellow_billiardball	small_yellow_billiardball	big_red_napkin	NA	NA	small_yellow_billiardball,small_red_billiardball,big_yellow_billiardball,big_red_napkin	big_red_napkin,big_yellow_billiardball,small_red_billiardball,small_yellow_billiardball
FDM5oyhMKCeSHTfZt	1	color_same_same_f	target	pan_candle	small_white_candle	size and color	redundant	size	color	5	3	same	same	it's the smallest white candle.	NA	the smallest white candle	0	1	candle	small	white	TRUE	TRUE	TRUE	FALSE	TRUE	big_white_candle	small_blue_pan	big_blue_candle	big_white_candle	big_white_candle	big_white_candle,big_blue_candle,big_white_candle,small_white_candle,small_blue_pan,big_white_candle	big_white_candle,small_blue_pan,big_blue_candle,big_white_candle,big_white_candle,small_white_candle
FDM5oyhMKCeSHTfZt	2	size_diff_same_m	target	balloon_switch	big_blue_switch	color	minimal	color	size	5	3	diff	same	it's the blue light switch.	NA	the blue switch	1	0	switch	big	blue	TRUE	FALSE	TRUE	FALSE	TRUE	big_white_switch	small_blue_balloon	small_white_switch	big_white_balloon	big_white_balloon	big_white_switch,big_white_balloon,big_white_balloon,small_white_switch,big_blue_switch,small_blue_balloon	big_white_balloon,big_white_balloon,small_white_switch,big_blue_switch,big_white_switch,small_blue_balloon
FDM5oyhMKCeSHTfZt	3	color_same_diff_f	target	clock_door	small_yellow_door	size and color	redundant	size	color	5	1	same	diff	it's the smaller yellow door.	NA	the smaller yellow door	0	1	door	small	yellow	TRUE	TRUE	TRUE	FALSE	TRUE	big_yellow_door	small_white_clock	big_white_door	big_white_door	big_white_door	big_white_door,big_white_door,big_white_door,small_yellow_door,big_yellow_door,small_white_clock	big_white_door,big_white_door,big_white_door,big_yellow_door,small_white_clock,small_yellow_door
FDM5oyhMKCeSHTfZt	4	size_diff_diff_f	target	mug_scarf	small_red_scarf	size and color	redundant	color	size	5	1	diff	diff	it's the small red scarf.	NA	the small red scarf	0	1	scarf	small	red	TRUE	TRUE	TRUE	FALSE	TRUE	small_blue_scarf	big_red_mug	big_blue_scarf	big_blue_mug	big_blue_mug	big_red_mug,small_blue_scarf,big_blue_mug,big_blue_mug,big_blue_scarf,small_red_scarf	big_red_mug,big_blue_scarf,small_red_scarf,big_blue_mug,small_blue_scarf,big_blue_mug
FDM5oyhMKCeSHTfZt	5	size_diff_diff_m	target	armchair_bucket	big_blue_bucket	color	minimal	color	size	5	1	diff	diff	it's the blue bucket.	NA	the blue bucket	1	0	bucket	big	blue	TRUE	FALSE	TRUE	FALSE	TRUE	big_red_bucket	small_blue_armchair	small_red_bucket	small_red_armchair	small_red_armchair	small_red_bucket,big_blue_bucket,big_red_bucket,small_red_armchair,small_red_armchair,small_blue_armchair	small_red_armchair,big_red_bucket,small_blue_armchair,small_red_armchair,big_blue_bucket,small_red_bucket
FDM5oyhMKCeSHTfZt	6	size_same_diff_m	target	truck_lock	big_black_lock	color	minimal	color	size	5	1	same	diff	it's the black bag.	NA	the black bag	1	0	lock	big	black	TRUE	FALSE	TRUE	FALSE	TRUE	big_purple_lock	small_black_truck	small_purple_lock	small_purple_lock	small_purple_lock	small_black_truck,small_purple_lock,small_purple_lock,small_purple_lock,big_purple_lock,big_black_lock	big_purple_lock,small_purple_lock,small_black_truck,big_black_lock,small_purple_lock,small_purple_lock
FDM5oyhMKCeSHTfZt	7	color_basic_target_f	target	crown_mouse	small_white_mouse	size and color	redundant	size	color	3	1	"NA"	"NA"	smaller white mouse	NA	smaller white mouse	0	1	mouse	small	white	TRUE	TRUE	TRUE	FALSE	FALSE	big_white_mouse	small_blue_crown	big_blue_mouse	NA	NA	small_white_mouse,big_white_mouse,big_blue_mouse,small_blue_crown	small_blue_crown,big_blue_mouse,big_white_mouse,small_white_mouse
FDM5oyhMKCeSHTfZt	9	color_diff_same_f	target	sock_fork	small_orange_fork	size and color	redundant	size	color	5	3	diff	same	smaller orange fork	NA	smaller orange fork	0	1	fork	small	orange	TRUE	TRUE	TRUE	FALSE	FALSE	big_orange_fork	small_green_sock	big_green_fork	big_orange_sock	big_orange_sock	big_green_fork,small_orange_fork,big_orange_fork,big_orange_sock,small_green_sock,big_orange_sock	big_orange_sock,big_green_fork,big_orange_fork,small_green_sock,big_orange_sock,small_orange_fork
FDM5oyhMKCeSHTfZt	10	size_same_same_m	target	pencil_bike	big_red_bike	color	minimal	color	size	5	3	same	same	red bike	NA	red bike	1	0	bike	big	red	TRUE	FALSE	TRUE	FALSE	FALSE	big_yellow_bike	small_red_pencil	small_yellow_bike	big_yellow_bike	big_yellow_bike	big_red_bike,small_red_pencil,small_yellow_bike,big_yellow_bike,big_yellow_bike,big_yellow_bike	big_red_bike,small_red_pencil,big_yellow_bike,small_yellow_bike,big_yellow_bike,big_yellow_bike
FDM5oyhMKCeSHTfZt	12	color_diff_diff_m	target	microscope_cake	big_purple_cake	size and color	redundant	size	color	5	1	diff	diff	bigger purple cake	NA	bigger purple cake	0	1	cake	big	purple	TRUE	TRUE	TRUE	FALSE	FALSE	small_purple_cake	big_black_microscope	small_black_cake	small_black_microscope	small_black_microscope	small_black_microscope,small_purple_cake,big_black_microscope,small_black_microscope,big_purple_cake,small_black_cake	small_purple_cake,small_black_microscope,big_black_microscope,big_purple_cake,small_black_microscope,small_black_cake
FDM5oyhMKCeSHTfZt	13	color_diff_diff_f	target	ornament_belt	small_white_belt	size and color	redundant	size	color	5	1	diff	diff	smaller white strap	NA	smaller white strap	0	1	belt	small	white	TRUE	TRUE	TRUE	FALSE	FALSE	big_white_belt	small_red_ornament	big_red_belt	big_red_ornament	big_red_ornament	big_red_ornament,big_red_belt,small_red_ornament,big_white_belt,small_white_belt,big_red_ornament	small_red_ornament,big_white_belt,big_red_ornament,big_red_belt,small_white_belt,big_red_ornament
FDM5oyhMKCeSHTfZt	14	size_basic_filler_1_f	control	billiardball_ruler	big_red_ruler	size and color	redundant	color	size	3	1	"NA"	"NA"	bigger red ruler	NA	bigger red ruler	0	1	ruler	big	red	TRUE	TRUE	TRUE	FALSE	FALSE	big_blue_ruler	small_blue_billiardball	small_red_ruler	NA	NA	small_red_ruler,big_red_ruler,small_blue_billiardball,big_blue_ruler	small_blue_billiardball,small_red_ruler,big_red_ruler,big_blue_ruler
FDM5oyhMKCeSHTfZt	15	size_basic_target_f	target	magnifyingglass_key	small_red_key	color	minimal	color	size	3	1	"NA"	"NA"	red key	NA	red key	1	0	key	small	red	TRUE	FALSE	TRUE	FALSE	FALSE	small_yellow_key	big_red_magnifyingglass	big_yellow_key	NA	NA	big_red_magnifyingglass,small_red_key,big_yellow_key,small_yellow_key	small_red_key,small_yellow_key,big_yellow_key,big_red_magnifyingglass
FDM5oyhMKCeSHTfZt	16	color_basic_filler_1_f	control	chair_napkin	small_yellow_napkin	size and color	redundant	size	color	3	1	"NA"	"NA"	small yellow towel	NA	small yellow towel	0	1	napkin	small	yellow	TRUE	TRUE	TRUE	FALSE	FALSE	big_yellow_napkin	big_blue_chair	small_blue_napkin	NA	NA	small_blue_napkin,big_yellow_napkin,small_yellow_napkin,big_blue_chair	small_blue_napkin,big_yellow_napkin,small_yellow_napkin,big_blue_chair
FDM5oyhMKCeSHTfZt	17	size_basic_filler_3_m	control	airplane_calendar	small_black_calendar	size and color	redundant	color	size	3	1	"NA"	"NA"	smaller black calendar	NA	smaller black calendar	0	1	calendar	small	black	TRUE	TRUE	TRUE	FALSE	FALSE	big_purple_calendar	big_black_calendar	small_purple_airplane	NA	NA	big_black_calendar,small_purple_airplane,big_purple_calendar,small_black_calendar	small_purple_airplane,big_purple_calendar,big_black_calendar,small_black_calendar
FDM5oyhMKCeSHTfZt	18	size_basic_filler_2_m	control	butterfly_rug	big_blue_rug	color	minimal	color	size	3	1	"NA"	"NA"	blue fabric	NA	blue fabric	1	0	rug	big	blue	TRUE	FALSE	TRUE	FALSE	FALSE	small_blue_butterfly	small_red_butterfly	big_red_butterfly	NA	NA	big_blue_rug,small_blue_butterfly,small_red_butterfly,big_red_butterfly	small_red_butterfly,big_blue_rug,big_red_butterfly,small_blue_butterfly
FDM5oyhMKCeSHTfZt	20	size_basic_filler_1_m	control	present_comb	big_red_comb	size and color	redundant	color	size	3	1	"NA"	"NA"	bigger red comb	NA	bigger red comb	0	1	comb	big	red	TRUE	TRUE	TRUE	FALSE	FALSE	big_blue_comb	small_blue_present	small_red_comb	NA	NA	big_blue_comb,big_red_comb,small_blue_present,small_red_comb	small_blue_present,big_red_comb,small_red_comb,big_blue_comb
FDM5oyhMKCeSHTfZt	21	size_same_diff_f	target	cap_lamp	small_white_lamp	size and color	redundant	color	size	5	1	same	diff	small white lamp	NA	small white lamp	0	1	lamp	small	white	TRUE	TRUE	TRUE	FALSE	FALSE	small_yellow_lamp	big_white_cap	big_yellow_lamp	big_yellow_lamp	big_yellow_lamp	big_yellow_lamp,big_yellow_lamp,big_yellow_lamp,small_white_lamp,small_yellow_lamp,big_white_cap	small_yellow_lamp,big_yellow_lamp,big_white_cap,big_yellow_lamp,small_white_lamp,big_yellow_lamp
FDM5oyhMKCeSHTfZt	22	color_same_same_m	target	razor_bonbon	big_purple_bonbon	size and color	redundant	size	color	5	3	same	same	biggest purple candy	NA	biggest purple candy	0	1	bonbon	big	purple	TRUE	TRUE	TRUE	FALSE	FALSE	small_purple_bonbon	big_black_razor	small_black_bonbon	small_purple_bonbon	small_purple_bonbon	big_purple_bonbon,small_black_bonbon,small_purple_bonbon,big_black_razor,small_purple_bonbon,small_purple_bonbon	small_purple_bonbon,small_purple_bonbon,small_black_bonbon,big_black_razor,small_purple_bonbon,big_purple_bonbon
FDM5oyhMKCeSHTfZt	24	size_diff_same_f	target	dress_guitar	small_red_guitar	color	minimal	color	size	5	3	diff	same	red guitar	NA	red guitar	1	0	guitar	small	red	TRUE	FALSE	TRUE	FALSE	FALSE	small_yellow_guitar	big_red_dress	big_yellow_guitar	small_yellow_dress	small_yellow_dress	small_yellow_dress,small_yellow_guitar,small_red_guitar,big_red_dress,big_yellow_guitar,small_yellow_dress	small_yellow_dress,small_red_guitar,big_red_dress,small_yellow_dress,small_yellow_guitar,big_yellow_guitar
FDM5oyhMKCeSHTfZt	25	size_basic_filler_2_f	control	flower_stapler	big_red_stapler	color	minimal	color	size	3	1	"NA"	"NA"	red stapler	NA	red stapler	1	0	stapler	big	red	TRUE	FALSE	TRUE	FALSE	FALSE	small_red_flower	small_white_flower	big_white_flower	NA	NA	big_red_stapler,small_red_flower,small_white_flower,big_white_flower	big_red_stapler,big_white_flower,small_red_flower,small_white_flower
FDM5oyhMKCeSHTfZt	26	size_same_same_f	target	ring_calculator	small_red_calculator	color	minimal	color	size	5	3	same	same	red calculator	NA	red calculator	1	0	calculator	small	red	TRUE	FALSE	TRUE	FALSE	FALSE	small_blue_calculator	big_red_ring	big_blue_calculator	small_blue_calculator	small_blue_calculator	small_blue_calculator,small_red_calculator,small_blue_calculator,small_blue_calculator,big_blue_calculator,big_red_ring	big_blue_calculator,small_blue_calculator,small_red_calculator,small_blue_calculator,small_blue_calculator,big_red_ring
FDM5oyhMKCeSHTfZt	27	color_same_diff_m	target	piano_knife	big_orange_knife	size and color	redundant	size	color	5	1	same	diff	bigger orange knife	NA	bigger orange knife	0	1	knife	big	orange	TRUE	TRUE	TRUE	FALSE	FALSE	small_orange_knife	big_green_piano	small_green_knife	small_green_knife	small_green_knife	small_green_knife,small_green_knife,big_green_piano,small_green_knife,big_orange_knife,small_orange_knife	small_green_knife,big_orange_knife,small_green_knife,small_green_knife,big_green_piano,small_orange_knife
