gameid	Trial	TargetItem	UtteranceType	redUtterance	Sufficient_Property	Redundant_Property	NumDistractors	Distractors_Noun	Distractors_RedProp	Gender	SceneVariation	speakerMessages	listenerMessages	refExp_wrong	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
HToNiSRqpqwtN7h9n	9	small_yellow_napkin	color	minimal	color	size redundant	3	"NA"	"NA"	F	0.3333333333333333	c'est la serviette jaune		c'est la serviette jaune	1	0	napkin	small	yellow	TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	10	small_orange_fish	size and color	redundant	size	color redundant	3	"NA"	"NA"	M	0.3333333333333333	c'est le petit poisson orange		c'est le petit poisson orange	0	1	fish	small	orange	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	11	big_black_fork	size and color	redundant	color	size redundant	3	"NA"	"NA"	F	0.3333333333333333	la grande fourchette noire		la grande fourchette noire	0	1	fork	big	black	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	12	small_yellow_door	size and color	redundant	size	color redundant	5	diff	same	F	0.2	la petite porte jaune		la petite porte jaune	0	1	door	small	yellow	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	14	small_red_ornament	size and color	redundant	size	color redundant	5	same	same	F	0.2	la petite boule rouge		la petite boule rouge	0	1	ornament	small	red	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	15	small_red_calculator	color	minimal	color	size redundant	5	same	same	F	0.2	la calculatrice rouge		la calculatrice rouge	1	0	calculator	small	red	TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	16	big_orange_knife	size and color	redundant	color	size redundant	3	"NA"	"NA"	M	0.3333333333333333	le grand couteau orange		le grand couteau orange	0	1	knife	big	orange	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	17	big_black_piano	size and color	redundant	size	color redundant	5	same	same	M	0.2	le plus grand des piano noir		le plus grand des piano noir	0	1	piano	big	black	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	18	small_blue_present	size and color	redundant	color	size redundant	3	"NA"	"NA"	M	0.3333333333333333	le petit cadeau bleu		le petit cadeau bleu	0	1	present	small	blue	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	19	big_green_lock	color	minimal	color	size redundant	5	same	same	M	0.2	le cadenas vert		le cadenas vert	1	0	lock	big	green	TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	20	small_white_crown	color	minimal	color	size redundant	5	diff	same	F	0.2	la couronne blanche		la couronne blanche	1	0	crown	small	white	TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	21	big_black_calendar	color	minimal	color	size redundant	5	same	diff	M	0.2	le calendrier noir		le calendrier noir	1	0	calendar	big	black	TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	24	small_green_remote	color	minimal	color	size redundant	5	same	diff	F	0.2	la télécommande verte		la télécommande verte	1	0	remote	small	green	TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	25	big_blue_butterfly	size and color	redundant	size	color redundant	5	same	diff	M	0.2	le grand papillon bleu		le grand papillon bleu	0	1	butterfly	big	blue	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	27	small_blue_cap	size and color	redundant	size	color redundant	5	same	diff	F	0.2	c'est la petite casquette bleu		c'est la petite casquette bleu	0	1	cap	small	blue	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	28	big_green_whistle	color	minimal	color	size redundant	5	diff	diff	M	0.2	c'est le sifflet vert		c'est le sifflet vert	1	0	whistle	big	green	TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	29	small_blue_rug	color	minimal	color	size redundant	3	"NA"	"NA"	M	0.3333333333333333	le tapis bleu		le tapis bleu	1	0	rug	small	blue	TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	30	small_yellow_guitar	size and color	redundant	size	color redundant	5	diff	diff	F	0.2	c'est la petite guitare jaune		c'est la petite guitare jaune	0	1	guitar	small	yellow	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	31	small_purple_sock	size and color	redundant	color	size redundant	3	"NA"	"NA"	F	0.3333333333333333	c'est la petite chaussette violette		c'est la petite chaussette violette	0	1	sock	small	purple	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	32	big_yellow_coathanger	color	minimal	color	size redundant	5	diff	same	M	0.2	c'est le cintre jaune		c'est le cintre jaune	1	0	coathanger	big	yellow	TRUE	FALSE	TRUE	FALSE	TRUE
6nneyGMABxDWkaudm	2	small_orange_shovel	size	minimal	size	color redundant	5	same	diff	F	0.2	la taille est petite__correct	est ce la petite pelle orange?	la taille est petite	1	0	shovel	small	orange	FALSE	TRUE	FALSE	FALSE	TRUE
6nneyGMABxDWkaudm	3	small_black_sock	size	minimal	size	color redundant	3	"NA"	"NA"	F	0.3333333333333333	la taille est petite__correct	est ce la paire de chaussette	la taille est petite	1	0	sock	small	black	FALSE	TRUE	FALSE	FALSE	TRUE
6nneyGMABxDWkaudm	6	small_yellow_clock	size	minimal	size	color redundant	3	"NA"	"NA"	F	0.3333333333333333	la taille est petite__oui	est ce le réveil jaune	la taille est petite	1	0	clock	small	yellow	FALSE	TRUE	FALSE	FALSE	TRUE
6nneyGMABxDWkaudm	8	small_purple_lock	size	minimal	size	color redundant	3	"NA"	"NA"	M	0.3333333333333333	la taille est petite__oui	le petit cadenas violet?	la taille est petite	1	0	lock	small	purple	FALSE	TRUE	FALSE	FALSE	TRUE
6nneyGMABxDWkaudm	12	big_orange_cake	size	minimal	size	color redundant	5	diff	same	M	0.2	la taille est grande__un autre objet	le rasoir violet?	la taille est grande	1	0	cake	big	orange	FALSE	TRUE	TRUE	FALSE	TRUE
6nneyGMABxDWkaudm	14	big_green_microscope	size	minimal	size	color redundant	5	same	diff	M	0.2	la taille est grande__autre objet	est ce le poisson?	la taille est grande	1	0	microscope	big	green	FALSE	TRUE	TRUE	FALSE	TRUE
6nneyGMABxDWkaudm	15	small_black_tie	size	minimal	size	color redundant	5	diff	diff	F	0.2	la taille est petite__oui	est ce la cravate noire?	la taille est petite	1	0	tie	small	black	FALSE	TRUE	FALSE	FALSE	TRUE
6nneyGMABxDWkaudm	18	small_yellow_guitar	size	minimal	size	color redundant	3	"NA"	"NA"	F	0.3333333333333333	la taille est petite__non	est ce une guitare rouge?	la taille est petite	1	0	guitar	small	yellow	FALSE	TRUE	FALSE	FALSE	TRUE
6nneyGMABxDWkaudm	19	small_orange_die	size	minimal	size	color redundant	3	"NA"	"NA"	M	0.3333333333333333	la taille est petite__oui	est ce un dé	la taille est petite	1	0	die	small	orange	FALSE	TRUE	FALSE	FALSE	TRUE
6nneyGMABxDWkaudm	20	big_purple_robot	size	minimal	size	color redundant	5	same	same	M	0.2	la taille est grande et se répète		la taille est grande et se répète	1	0	robot	big	purple	FALSE	TRUE	TRUE	FALSE	TRUE
6nneyGMABxDWkaudm	22	small_white_lamp	size	minimal	size	color redundant	3	"NA"	"NA"	F	0.3333333333333333	la taille est petite__non	est ce une lampe jaune	la taille est petite	1	0	lamp	small	white	FALSE	TRUE	FALSE	FALSE	TRUE
6nneyGMABxDWkaudm	26	small_blue_mouse	size	minimal	size	color redundant	5	diff	same	F	0.2	la taille est petite__non	est ce une chaise	la taille est petite	1	0	mouse	small	blue	FALSE	TRUE	FALSE	FALSE	TRUE
6nneyGMABxDWkaudm	29	big_yellow_frame	size	minimal	size	color redundant	5	diff	diff	M	0.2	la taille est grande__oui	est ce un cadre	la taille est grande	1	0	frame	big	yellow	FALSE	TRUE	TRUE	FALSE	TRUE
6nneyGMABxDWkaudm	31	small_yellow_butterfly	size	minimal	size	color redundant	3	"NA"	"NA"	M	0.3333333333333333	la taille est petite__couleur différente	est ce un papillon blanc	la taille est petite	1	0	butterfly	small	yellow	FALSE	TRUE	FALSE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	1	small_red_lamp	size and color	redundant	color	size redundant	5	same	same	F	0.2	lampe petite et rouge	?	lampe petite et rouge	0	1	lamp	small	red	TRUE	TRUE	TRUE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	2	big_black_truck	size and color	redundant	size	color redundant	5	same	diff	M	0.2	grand et noir		grand et noir	0	1	truck	big	black	TRUE	TRUE	FALSE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	3	small_yellow_clock	color	minimal	color	size redundant	5	diff	diff	F	0.2	alarm jaune		alarm jaune	1	0	clock	small	yellow	TRUE	FALSE	FALSE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	4	big_yellow_billiardball	size and color	redundant	color	size redundant	3	"NA"	"NA"	F	0.3333333333333333	grosse boule jaune		grosse boule jaune	0	1	billiardball	big	yellow	TRUE	TRUE	TRUE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	6	small_yellow_chair	color	minimal	color	size redundant	3	"NA"	"NA"	F	0.3333333333333333	chaise jaune		chaise jaune	1	0	chair	small	yellow	TRUE	FALSE	TRUE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	7	big_red_comb	color	minimal	color	size redundant	5	diff	same	M	0.2	peigne rouge		peigne rouge	1	0	comb	big	red	TRUE	FALSE	TRUE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	8	small_red_guitar	color	minimal	color	size redundant	5	same	diff	F	0.2	guitar rouge		guitar rouge	1	0	guitar	small	red	TRUE	FALSE	FALSE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	9	small_blue_mouse	size and color	redundant	size	color redundant	3	"NA"	"NA"	F	0.3333333333333333	petite souri bleue		petite souris bleue	0	1	mouse	small	blue	TRUE	TRUE	TRUE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	10	big_white_phone	size and color	redundant	size	color redundant	5	diff	diff	M	0.2	gros phone blanc		gros phone blanc	0	1	phone	big	white	TRUE	TRUE	TRUE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	12	small_green_microscope	size and color	redundant	color	size redundant	3	"NA"	"NA"	M	0.3333333333333333	petit vert		petit vert	0	1	microscope	small	green	TRUE	TRUE	FALSE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	13	big_yellow_switch	size and color	redundant	size	color redundant	5	diff	same	M	0.2	gros interupteur jaune		gros interrupteur jaune	0	1	switch	big	yellow	TRUE	TRUE	TRUE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	14	small_red_candle	size and color	redundant	color	size redundant	3	"NA"	"NA"	F	0.3333333333333333	petite bougie rouge		petite bougie rouge	0	1	candle	small	red	TRUE	TRUE	TRUE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	16	small_black_tent	size and color	redundant	size	color redundant	5	same	same	F	0.2	petite tante noire		petite tante noire	0	1	tent	small	black	TRUE	TRUE	FALSE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	17	big_green_lipstick	size and color	redundant	color	size redundant	3	"NA"	"NA"	M	0.3333333333333333	gros vert		gros vert	0	1	lipstick	big	green	TRUE	TRUE	FALSE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	18	small_purple_bonbon	color	minimal	color	size redundant	3	"NA"	"NA"	M	0.3333333333333333	bonbon violet		bonbon violet	1	0	bonbon	small	purple	TRUE	FALSE	TRUE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	21	big_purple_hammer	color	minimal	color	size redundant	5	same	same	M	0.2	marteau violet		marteau violet	1	0	hammer	big	purple	TRUE	FALSE	TRUE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	22	big_red_coathanger	size and color	redundant	size	color redundant	5	same	same	M	0.2	gros rouge		gros rouge	0	1	coathanger	big	red	TRUE	TRUE	FALSE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	23	small_purple_cake	size and color	redundant	size	color redundant	3	"NA"	"NA"	M	0.3333333333333333	petit violet		petit violet	0	1	cake	small	purple	TRUE	TRUE	FALSE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	24	small_red_napkin	size and color	redundant	size	color redundant	3	"NA"	"NA"	F	0.3333333333333333	petit rouge		petit rouge	0	1	napkin	small	red	TRUE	TRUE	FALSE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	25	small_white_ruler	size and color	redundant	size	color redundant	5	diff	same	F	0.2	petite late blanche		petite late blanche	0	1	ruler	small	white	TRUE	TRUE	TRUE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	26	small_red_frame	size and color	redundant	size	color redundant	3	"NA"	"NA"	M	0.3333333333333333	petit rouge		petit rouge	0	1	frame	small	red	TRUE	TRUE	FALSE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	27	big_orange_whistle	color	minimal	color	size redundant	5	diff	diff	M	0.2	sifle orange		siffle orange	1	0	whistle	big	orange	TRUE	FALSE	TRUE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	28	big_yellow_mask	color	minimal	color	size redundant	5	same	diff	M	0.2	masque jaune		masque jaune	1	0	mask	big	yellow	TRUE	FALSE	TRUE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	30	small_green_sock	size and color	redundant	size	color redundant	5	diff	diff	F	0.2	petit vert		petit vert	0	1	sock	small	green	TRUE	TRUE	FALSE	FALSE	FALSE
HoHtmnyTrHC6RkLvA	31	small_black_remote	color	minimal	color	size redundant	5	diff	same	F	0.2	telecom noire		telecom noire	1	0	remote	small	black	TRUE	FALSE	TRUE	FALSE	TRUE
HoHtmnyTrHC6RkLvA	32	small_white_key	size and color	redundant	size	color redundant	5	same	diff	F	0.2	petite blanche	bien joué au top !	petite blanche	0	1	key	small	white	TRUE	TRUE	FALSE	FALSE	TRUE
